Symbol	Name	Sector	SEC Filings
KO	Coca Cola Company	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH	Cognizant Technology Solutions	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL	Colgate-Palmolive	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA	Comcast Corp.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CMA	Comerica Inc.	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA
CAG	ConAgra Foods Inc.	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
CXO	Concho Resources	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CXO
COP	ConocoPhillips	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED	Consolidated Edison	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ	Constellation Brands	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
GLW	Corning Inc.	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
COST	Costco Co.	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
COTY	"Coty, Inc"	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COTY
CCI	Crown Castle International Corp.	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
CSX	CSX Corp.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI	Cummins Inc.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS	CVS Health	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI	D. R. Horton	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR	Danaher Corp.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI	Darden Restaurants	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA	DaVita Inc.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DE	Deere & Co.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DLPH	Delphi Automotive	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLPH
DAL	Delta Air Lines	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
XRAY	Dentsply Sirona	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY
DVN	Devon Energy Corp.	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DLR	Digital Realty Trust	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
DFS	Discover Financial Services	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
DISCA	Discovery Communications-A	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCA
DISCK	Discovery Communications-C	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCK
DG	Dollar General	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
DLTR	Dollar Tree	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
D	Dominion Resources	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
DOV	Dover Corp.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
DPS	Dr Pepper Snapple Group	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
DTE	DTE Energy Co.	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
DUK	Duke Energy	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
DNB	Dun & Bradstreet	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNB
ETFC	E*Trade	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETFC
EMN	Eastman Chemical	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
ETN	Eaton Corporation	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
EBAY	eBay Inc.	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
ECL	Ecolab Inc.	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
EIX	Edison Int'l	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX
EW	Edwards Lifesciences	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
EA	Electronic Arts	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
EMR	Emerson Electric Company	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
ETR	Entergy Corp.	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
EVHC	Envision Healthcare	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVHC
EOG	EOG Resources	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
EQT	EQT Corporation	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT
EFX	Equifax Inc.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX
EQIX	Equinix	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
EQR	Equity Residential	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
ESS	"Essex Property Trust, Inc."	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
EL	Estee Lauder Cos.	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
ES	Eversource Energy	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
EXC	Exelon Corp.	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
EXPE	Expedia Inc.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE
EXPD	Expeditors Int'l	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
ESRX	Express Scripts	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESRX
EXR	Extra Space Storage	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR
XOM	Exxon Mobil Corp.	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FFIV	F5 Networks	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
FB	"Facebook, Inc."	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
FAST	Fastenal Co	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
FRT	Federal Realty Investment Trust	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT
FDX	FedEx Corporation	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
FIS	Fidelity National Information Services	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
FITB	Fifth Third Bancorp	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
FSLR	First Solar Inc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FSLR
FE	FirstEnergy Corp	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE
FISV	Fiserv Inc	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV
FLIR	FLIR Systems	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLIR
FLS	Flowserve Corporation	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS
FLR	Fluor Corp.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLR
FMC	FMC Corporation	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
FTI	FMC Technologies Inc.	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTI
FL	Foot Locker Inc	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FL
F	Ford Motor	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
FTV	Fortive Corp	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV
FBHS	Fortune Brands Home & Security	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS
BEN	Franklin Resources	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
FCX	Freeport-McMoRan Inc.	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
FTR	Frontier Communications	Telecommunications Services	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTR
GPS	Gap (The)	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPS
GRMN	Garmin Ltd.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
GD	General Dynamics	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
GE	General Electric	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
GGP	General Growth Properties Inc.	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GGP
GIS	General Mills	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
GM	General Motors	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
GPC	Genuine Parts	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
